DATE,CLOSE
2024-03-25,1267.86
2024-03-26,1282.21
2024-03-27,1283.09
2024-03-28,1290.18
2024-03-29,1284.09
2024-04-01,1281.52
2024-04-02,1287.04
2024-04-03,1271.47
2024-04-04,1268.25
2024-04-05,1255.11
2024-04-08,1250.35
2024-04-09,1262.82
2024-04-10,1258.56
2024-04-11,1258.2
2024-04-12,1276.6
2024-04-15,1216.61
2024-04-16,1215.68
2024-04-17,1193.01
2024-04-19,1174.85
2024-04-22,1190.22
2024-04-23,1177.4
2024-04-24,1205.61
2024-04-25,1204.97
2024-04-26,1209.52
2024-05-02,1216.36
2024-05-03,1221.03
2024-05-06,1241.58
2024-05-07,1248.63
2024-05-08,1250.46
2024-05-09,1248.64
2024-05-10,1244.7
2024-05-13,1240.18
2024-05-14,1243.28
2024-05-15,1254.39
2024-05-16,1268.78
2024-05-17,1273.11
2024-05-20,1277.58
2024-05-21,1277.14
2024-05-22,1266.91
2024-05-23,1281.03
2024-05-24,1261.93
2024-05-27,1267.68
2024-05-28,1281.73
2024-05-29,1272.64
2024-05-30,1266.32
2024-05-31,1261.72
2024-06-03,1280.0
2024-06-04,1283.52
2024-06-05,1284.35
2024-06-06,1283.56
2024-06-07,1287.58
2024-06-10,1290.67
2024-06-11,1284.41
2024-06-12,1300.19
